station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
NNPR,NONAPAR,UNKNOWN,UNKNOWN,,26.353209,83.969786,True,False,OTHER
MW,MAIRWA,UNKNOWN,UNKNOWN,,26.240309,84.151979,True,False,OTHER
KUY,TIRUPPUR KULIPALAYAM,UNKNOWN,UNKNOWN,,11.144028,77.389314,True,False,OTHER
PLL,PARLI,UNKNOWN,UNKNOWN,,10.800415,76.559421,True,False,OTHER
AGTL,Agartala,Tripura,NFR,"Agartala, Tripura",23.792417,91.278481,True,False,OTHER
MNY,MANKARAI,UNKNOWN,UNKNOWN,,10.771526,76.500232,True,False,OTHER
LDY,LAKKITI,UNKNOWN,UNKNOWN,,10.753217,76.434467,True,False,OTHER
PLPM,PALAPPURAM,UNKNOWN,UNKNOWN,,10.752519,76.398386,True,False,OTHER
OTP,OTTAPPALAM,UNKNOWN,UNKNOWN,,10.770046,76.377993,True,False,OTHER
MNUR,MANNANUR,UNKNOWN,UNKNOWN,,10.749322,76.323555,True,False,OTHER
ZRDE,JIRADEI,UNKNOWN,UNKNOWN,,26.220819,84.256142,True,False,OTHER
SV,SIWAN JN,UNKNOWN,UNKNOWN,,26.210724,84.359267,True,False,OTHER
PCK,PACHRUKHI,UNKNOWN,UNKNOWN,,26.162628,84.415667,True,False,OTHER
DDA,DURAUNDHA JN,UNKNOWN,UNKNOWN,,26.086973,84.458946,True,False,OTHER
CW,CHAINWA,UNKNOWN,UNKNOWN,,26.022117,84.496496,True,False,OTHER
POK,POKRAN,Rajasthan,NWR,"National Highway 15, Rajasthan",26.930571,71.923129,True,False,OTHER
OCH,ODHANIYA CHACHA,Rajasthan,NWR,"National Highway 15, Rajasthan",26.972848,71.718687,True,False,OTHER
EKMA,EKMA,UNKNOWN,UNKNOWN,,25.967099,84.53637,True,False,OTHER
DDP,DAUDPUR,UNKNOWN,UNKNOWN,,25.90709,84.591425,True,False,OTHER
KPS,KOPA SAMHOTA,UNKNOWN,UNKNOWN,,25.851866,84.652814,True,False,OTHER
BTHL,BITHAULI,UNKNOWN,UNKNOWN,,25.817069,85.29179,True,False,OTHER
GB,GAURI BAZAR,UNKNOWN,UNKNOWN,,26.594934,83.667801,True,False,OTHER
BALR,BAITALPUR,UNKNOWN,UNKNOWN,,26.552663,83.738557,True,False,OTHER
DEOS,DEORIA SADAR,UNKNOWN,UNKNOWN,,26.507681,83.781959,True,False,OTHER
NRA,NUNKHAR,UNKNOWN,UNKNOWN,,26.425483,83.880179,True,False,OTHER
AGMN,Agomoni,UNKNOWN,UNKNOWN,,26.225947,89.786242,True,False,OTHER
BND,BHANDUP,UNKNOWN,UNKNOWN,,19.14201,72.937235,True,False,OTHER
ASR,AMRITSAR JN,UNKNOWN,UNKNOWN,,31.631512,74.858025,True,False,OTHER
MUC,MULLURKARA,UNKNOWN,UNKNOWN,,10.705843,76.271415,True,False,OTHER
WKI,WADAKANCHERI,UNKNOWN,UNKNOWN,,10.648956,76.237041,True,False,OTHER
